Column Name,RW Map Rule,CTR Map Rule,RW Alias
Asset Date Adjustment,,,
Asset Notional,round_to_2decimal,round_to_2decimal,
Asset Reset Dates,replace_bar_with_comma,,
Asset Reset Freq,map_freq,,
Asset Resets,replace_bar_and_remove_trailing_zeros,remove_zerovalue_resets,
Asset Return Dates,replace_bar_with_comma,,
Asset StubMode,,,
End Date,,,
FI Applied Period Dates,replace_bar_with_comma,,
FI Compounding Method,,,
FI Date Adjust,,,
FI DayCount,,,
FI Forward Curve,,,
FI PayLag Convention,,,
FI Period Dates,replace_bar_with_comma,,
FI Payment Dates,replace_bar_with_comma,,
FI Reset Arrears,,,
FI Reset Dates,replace_bar_with_comma,,
FI Reset Freq,,,
FI Reset Holiday,,,
FI Reset Lag,,,
FI Resets,replace_bar_and_remove_trailing_zeros,remove_zerovalue_resets,
FI Spread,,,
FI Stub Mode,,,
GL Account,,,
GL Notional,,remove_trailing_zero_from_gl_notional,
Group ID,,,
ID,,add_colon,
Include Notional,,,
Issue Date,,,
Notional Adj Asset Resets,,,
Notional Adj Rate Resets,,,
Product Category,,,
Rec Rate,,,
Underlying Instrument,,,
